timestamp,cpu_usage_percent,memory_usage_percent,disk_usage_percent
2026-06-01T00:00:00,22,41,55
2026-06-01T01:00:00,19,40,55
2026-06-01T02:00:00,18,39,55
2026-06-01T03:00:00,20,40,56
2026-06-01T04:00:00,21,42,56
2026-06-01T05:00:00,25,44,56
2026-06-01T06:00:00,34,48,57
2026-06-01T07:00:00,45,53,57
2026-06-01T08:00:00,58,60,58
2026-06-01T09:00:00,67,65,58
2026-06-01T10:00:00,74,69,59
2026-06-01T11:00:00,83,72,59
2026-06-01T12:00:00,89,76,60
2026-06-01T13:00:00,91,78,60
2026-06-01T14:00:00,85,75,61
2026-06-01T15:00:00,72,70,61
2026-06-01T16:00:00,64,66,62
2026-06-01T17:00:00,55,61,62
2026-06-01T18:00:00,47,56,62
2026-06-01T19:00:00,40,52,63
2026-06-01T20:00:00,35,49,63
2026-06-01T21:00:00,30,46,63
2026-06-01T22:00:00,26,44,64
2026-06-01T23:00:00,23,42,64
2026-06-02T00:00:00,21,41,64
2026-06-02T01:00:00,19,40,64
2026-06-02T02:00:00,18,40,65
2026-06-02T03:00:00,20,41,65
2026-06-02T04:00:00,22,43,65
2026-06-02T05:00:00,27,45,66
2026-06-02T06:00:00,36,49,66
2026-06-02T07:00:00,48,54,66
2026-06-02T08:00:00,61,62,67
2026-06-02T09:00:00,70,67,67
2026-06-02T10:00:00,78,71,68
2026-06-02T11:00:00,86,74,68
2026-06-02T12:00:00,92,79,69
2026-06-02T13:00:00,94,81,69
2026-06-02T14:00:00,88,77,70
2026-06-02T15:00:00,75,72,70
2026-06-02T16:00:00,66,67,71
2026-06-02T17:00:00,57,62,71
2026-06-02T18:00:00,49,57,71
2026-06-02T19:00:00,42,53,72
2026-06-02T20:00:00,36,50,72
2026-06-02T21:00:00,31,47,72
2026-06-02T22:00:00,27,45,72
2026-06-02T23:00:00,24,43,72
